City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,ilulissat,69.2167,-51.1,0.01,93,100,0.51,GL,1682232998
162,nakhon phanom,17.3333,104.4167,36.82,28,92,3.59,TH,1682233000
163,salvador,13.8333,-88.9167,22.81,92,22,0.5,SV,1682232962
164,kununurra,-15.7667,128.7333,31.99,27,0,6.17,AU,1682233005
165,sabang,5.8933,95.3214,29.12,71,9,1.86,ID,1682233008
166,uturoa,-16.7333,-151.4333,28.16,78,98,8.34,PF,1682233010
167,nogliki,51.8333,143.1667,-0.22,94,100,5.98,RU,1682233012
168,reggane,26.7158,0.1714,26.25,26,94,6.86,DZ,1682233015
169,sao felix do xingu,-6.6447,-51.995,21.47,98,100,0.43,BR,1682232852
170,mendi,-6.1761,143.6513,16.45,96,97,0.55,PG,1682233020
171,kodiak,57.79,-152.4072,5.73,42,0,4.63,US,1682233022
172,hyesan,41.4017,128.1778,8.53,17,80,6.44,KP,1682233025
173,llerena,38.2354,-6.0739,9.68,67,99,1.8,ES,1682233027
174,kapa'a,22.0752,-159.319,24.5,88,20,3.6,US,1682233030
175,westport,41.1415,-73.3579,14.1,92,100,5.14,US,1682233032
176,arraial do cabo,-22.9661,-42.0278,22.95,72,0,2.71,BR,1682233035
177,melekeok village,7.4957,134.6367,30.31,74,75,3.09,PW,1682233038
178,mudgee,-32.5943,149.5871,20.99,66,4,4.52,AU,1682233041
179,tambacounda,13.7539,-13.7586,30.03,28,0,5.14,SN,1682233043
180,vilyuchinsk,52.9306,158.4028,5.15,92,100,1.2,RU,1682233046
181,dumai,1.6833,101.45,30.66,65,100,1.16,ID,1682233048
182,todos santos,23.45,-110.2167,17.47,85,8,2.71,MX,1682233051
183,badger,64.8,-147.5333,-7.49,57,40,10.29,US,1682233054
184,berezovo,63.9381,65.0419,2.53,92,100,6.7,RU,1682233057
185,susuman,62.7833,148.1667,-3.29,74,62,5.55,RU,1682233060
186,north bay,46.3168,-79.4663,3.01,98,100,3.6,CA,1682233062
187,anadyr,64.75,177.4833,-3.72,74,0,3.0,RU,1682233065
188,nueva concepcion,14.2,-91.3,26.3,78,0,2.63,GT,1682233068
189,tullamore,53.2739,-7.4889,5.63,95,87,1.03,IE,1682233070
190,nalut,30.3333,10.85,17.15,43,6,7.86,LY,1682233073
191,rio gallegos,-51.6226,-69.2181,9.03,71,40,5.66,AR,1682233075
192,christchurch,-43.5333,172.6333,14.39,89,100,3.09,NZ,1682233078
193,ardabil,38.2498,48.2933,15.75,51,0,2.06,IR,1682232781
194,lambarene,-0.7001,10.2406,24.48,89,29,1.46,GA,1682233083
195,college,64.8569,-147.8028,-7.45,57,40,10.29,US,1682233085
196,altos,-5.0381,-42.46,23.17,72,58,1.72,BR,1682233088
197,rezekne,56.5,27.3167,13.9,61,13,3.18,LV,1682233091
198,cole harbour,44.6724,-63.4751,2.62,89,7,2.24,CA,1682233094
199,antsiranana,-12.2787,49.2917,29.42,70,20,5.14,MG,1682233096
200,sitka,57.0531,-135.33,6.94,87,100,1.54,US,1682233099
201,baker city,44.7749,-117.8344,7.02,93,0,0.0,US,1682233070
202,adirampattinam,10.35,79.4,33.3,58,95,5.77,IN,1682233104
203,nytva,57.9404,55.334,15.94,41,21,4.34,RU,1682233106
204,temple,31.0982,-97.3428,14.53,66,100,7.2,US,1682232991
205,port isabel,26.0734,-97.2086,26.02,84,75,6.17,US,1682233111
206,vargashi,55.3556,65.8467,16.75,40,49,6.93,RU,1682233114
207,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,65,75,3.0,RU,1682233116
208,guerrero negro,27.9769,-114.0611,14.99,85,0,4.31,MX,1682233119
209,amga,60.8953,131.9608,0.46,83,100,4.43,RU,1682233121
210,hithadhoo,-0.6,73.0833,29.27,71,100,2.48,MV,1682233086
211,saiha,22.4833,92.9667,32.45,33,100,2.04,IN,1682233126
212,floro,61.5996,5.0328,9.98,57,100,3.6,NO,1682233128
213,granite shoals,30.5891,-98.3839,18.68,74,100,3.09,US,1682233131
214,mooloolaba,-26.6833,153.1167,23.36,72,100,3.58,AU,1682233061
215,dwarka,22.2394,68.9678,29.8,56,0,5.93,IN,1682233136
216,muncar,-8.4333,114.3333,30.26,65,97,3.23,ID,1682233138
217,manokwari,-0.8667,134.0833,27.82,78,84,2.05,ID,1682233141
218,nova sintra,14.8667,-24.7167,20.24,74,5,8.69,CV,1682233143
219,acapulco de juarez,16.8634,-99.8901,26.9,78,40,1.54,MX,1682233055
220,tura,25.5198,90.2201,18.95,91,98,1.88,IN,1682233148
221,chyorny yar,48.0624,46.1091,13.25,70,100,3.44,RU,1682233151
222,severo-yeniseyskiy,60.3725,93.0408,1.98,92,100,3.2,RU,1682233153
223,masterton,-40.9597,175.6575,14.38,89,85,3.06,NZ,1682233156
224,francisco beltrao,-26.0811,-53.055,11.33,93,0,1.0,BR,1682233158
225,semenov,56.7875,44.493,14.61,40,9,2.91,RU,1682233161
226,minot air force base,48.4209,-101.3391,-0.44,85,0,5.66,US,1682233164
227,cobija,-11.0267,-68.7692,23.45,86,87,1.05,BO,1682233166
228,freeport,40.6576,-73.5832,14.99,95,100,3.09,US,1682233169
229,les sables-d'olonne,46.6667,-1.8333,12.44,91,100,7.54,FR,1682233171
230,vicam,27.6333,-110.2833,22.55,30,0,2.34,MX,1682233174
231,beterou,9.1992,2.2586,26.2,78,18,4.62,BJ,1682233176
232,tahoua,14.8888,5.2692,25.99,25,0,1.03,NE,1682233179
233,mangrol,21.1167,70.1167,30.86,49,4,5.61,IN,1682233181
234,bel ombre,-4.6167,55.4167,31.91,66,20,3.6,SC,1682233184
235,katabu,-4.9333,122.5167,31.31,54,99,2.25,ID,1682233186
236,calchaqui,-29.8877,-60.287,16.4,68,100,2.64,AR,1682233189
237,surgana,20.5667,73.6167,33.2,23,2,3.91,IN,1682233191
238,bol,13.4586,14.7147,28.04,56,17,5.12,TD,1682233194
239,chegdomyn,51.1167,133.0167,5.74,56,100,2.7,RU,1682233196
240,urangan,-25.3,152.9,23.44,64,100,11.15,AU,1682233199
241,salinas,36.6777,-121.6555,13.34,80,0,6.17,US,1682233166
242,batticaloa,7.7102,81.6924,30.56,68,100,3.32,LK,1682233208
243,aitape,-3.1374,142.3475,28.97,71,62,2.23,PG,1682233222
244,constantia,44.1833,28.65,14.38,65,72,1.58,RO,1682233204
245,glace bay,46.1969,-59.957,2.77,92,75,3.6,CA,1682233228
246,lihue,21.9789,-159.3672,24.09,86,20,3.6,US,1682233083
247,newman,37.3138,-121.0208,19.05,79,96,1.69,US,1682233234
248,jacobina,-11.1806,-40.5183,20.43,96,100,2.44,BR,1682233238
249,afaahiti,-17.75,-149.2833,26.93,80,97,7.87,PF,1682233240
250,peniche,39.3558,-9.3811,13.58,87,0,2.1,PT,1682233243
251,civril,38.3014,29.7386,12.91,59,97,2.44,TR,1682233245
252,stuttgart,48.7823,9.177,13.69,87,0,2.06,DE,1682233072
253,pangody,65.85,74.4859,0.96,100,100,2.87,RU,1682233251
254,colby,39.3958,-101.0524,-0.54,57,0,0.45,US,1682233253
255,pangkalan brandan,4.0238,98.2782,31.35,60,88,3.47,ID,1682233255
256,hermanus,-34.4187,19.2345,17.36,86,98,5.04,ZA,1682233258
257,vila velha,-20.3297,-40.2925,23.3,83,40,1.34,BR,1682233240
258,arar,30.9753,41.0381,25.01,33,0,3.09,SA,1682233264
